Market_and_Exchange_Names	File
PJM ELECTRICITY MONTHLY - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE A LBMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE G LBMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ISO NEW ENGLAND LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM CAL MONTH OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ISO NEW ENG OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE	DeaFut
COCOA - NEW YORK BOARD OF TRADE	DeaFut
PALLADIUM - NEW YORK MERCANTILE EXCHANGE	DeaFut
PLATINUM - NEW YORK MERCANTILE EXCHANGE	DeaFut
SUGAR NO. 11 - NEW YORK BOARD OF TRADE	DeaFut
COFFEE C - NEW YORK BOARD OF TRADE	DeaFut
SILVER - COMMODITY EXCHANGE INC.	DeaFut
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.	DeaFut
GOLD - COMMODITY EXCHANGE INC.	DeaFut
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	DeaFut
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	DeaFut
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE	DeaFut
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE	DeaFut
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE	DeaFut
U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE	DeaFut
EURO FX - CHICAGO MERCANTILE EXCHANGE	DeaFut
UNLEADED GASOLINE, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE	DeaFut
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE	DeaFut
VIX FUTURES - CBOE FUTURES EXCHANGE	DeaFut
DOW JONES INDUSTRIAL AVERAGE - CHICAGO BOARD OF TRADE	DeaFut
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE	DeaFut
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE	DeaFut
S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE	DeaFut
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	DeaFut
RUSSEL 2000 STOCK INDEX FUTURE - CHICAGO MERCANTILE EXCHANGE	DeaFut
RUSSEL 2000 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE	DeaFut
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE	DeaFut
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE	DeaFut
INTEREST RATE SWAPS 10YR - 3MO - CHICAGO BOARD OF TRADE	DeaFut
S&P 400 MIDCAP STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE	DeaFut
MINI SOYBEANS - CHICAGO BOARD OF TRADE	DeaFut
NY RES FUEL 1.0% SULFUR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SAN JUAN BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NGPL MID-CON BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
VENTURA BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB INDEX SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NEW YORK HDD - CHICAGO MERCANTILE EXCHANGE	DeaFut
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE J LBMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GOLDMAN-SACHS COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
E-MINY CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE	DeaFut
GOLD, 100 TROY OZ - CHICAGO BOARD OF TRADE	DeaFut
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE	DeaFut
NORTH ILL OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
EURO FX/JAPANESE YEN XRATE - NEW YORK BOARD OF TRADE	DeaFut
HOUSTON SHP CHANNEL INDEX SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
WTI CRUDE OIL FINANCIAL - NEW YORK MERCANTILE EXCHANGE	DeaFut
EUR SING FUEL OIL 180 CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
E-MINY NATURAL GAS - NEW YORK MERCANTILE EXCHANGE	DeaFut
EURO FX/BRITISH POUND XRATE - NEW YORK BOARD OF TRADE	DeaFut
GULF # 6 FUEL 3.0% SULFUR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SILVER, 5000 TROY OZ - CHICAGO BOARD OF TRADE	DeaFut
DUBAI CRUDE OIL CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING FUEL OIL 180 CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NORTH ILL CAL MONTH LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MILK, Class III - CHICAGO MERCANTILE EXCHANGE	DeaFut
WTI CRUDE OIL CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE A OFF PK LBMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CHICAGO HDD - CHICAGO MERCANTILE EXCHANGE	DeaFut
SULFUR FINANCIAL INSTRUMENT - CHICAGO CLIMATE FUTURES EXCHANGE	DeaFut
EUR 3.5% FUEL OIL RTD CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
DEMARC BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE	DeaFut
SING JET KERO GASOIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING JET KERO SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CENTRAL APPALACHIAN COAL - NEW YORK MERCANTILE EXCHANGE	DeaFut
INTEREST RATE SWAPS 5YR - 3MO - CHICAGO BOARD OF TRADE	DeaFut
NEW YORK CDD - CHICAGO MERCANTILE EXCHANGE	DeaFut
SOCAL NAT GAS INDEX - NEW YORK MERCANTILE EXCHANGE	DeaFut
COTTON NO. 2 - ICE FUTURES U.S.	DeaFut
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.	DeaFut
COCOA - ICE FUTURES U.S.	DeaFut
SUGAR NO. 11 - ICE FUTURES U.S.	DeaFut
COFFEE C - ICE FUTURES U.S.	DeaFut
U.S. DOLLAR INDEX - ICE FUTURES U.S.	DeaFut
UP DOWN GC ULSD VS HO SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
BRENT-DUBAI SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NAPTHA CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CINERGY OFF PEAK LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RBOB GASOLINE FINANCIAL - NEW YORK MERCANTILE EXCHANGE	DeaFut
E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE	DeaFut
TRANSCO ZONE 3 SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING GASOIL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING GASOIL/RDAM GASOIL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GASOIL CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
BRENT FINANCIAL - NEW YORK MERCANTILE EXCHANGE	DeaFut
3.5% FUEL OIL RDAM CRACK SPR - NEW YORK MERCANTILE EXCHANGE	DeaFut
CARBON FINANCIAL INSTRUMENT - CHICAGO CLIMATE FUTURES EXCHANGE	DeaFut
RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.	DeaFut
AEP DAYTON OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF JET NY HEAT OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
EUR 1% FUEL OIL NWE CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU PROPANE SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
INTEREST RATE SWAPS 10YR - CHICAGO BOARD OF TRADE	DeaFut
INTEREST RATE SWAPS 5YR - CHICAGO BOARD OF TRADE	DeaFut
RUSSELL 2000 STOCK INDEX - ICE FUTURES U.S.	DeaFut
SING NAPHTHA SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
DATED TO FRONTLINE BRENT SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RGGI CO2 ALLOWANCE - CHICAGO CLIMATE FUTURES EXCHANGE	DeaFut
NW EUR HI LO FUEL OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
COLUMBIA GULF ONSHORE SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CINERGY CAL MONTH LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
EAST WEST FUEL OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RBOB UP-DOWN CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RBOB CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RUSSEL 1000 MINI INDEX FUTURE - ICE FUTURES U.S.	DeaFut
TETCO M-3 NAT GAS INDEX - NEW YORK MERCANTILE EXCHANGE	DeaFut
CENTERPOINT BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
JET CIF NWE/GASOIL FUT - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING GASOIL BALMO SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
BRENT (ICE) CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING 180 380 FUEL OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WESTERN PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WESTERN OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
1% FUEL OIL NWE CRACK SPR - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU NAT GASOLINE SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE	DeaFut
NY 1% V GULF 3% FUEL OIL SPR - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF # 6 FUEL OIL CRACK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU NORMAL BUTANE SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NITROGEN FIN INS ANNUAL 2009 - CHICAGO CLIMATE FUTURES EXCHANGE	DeaFut
PJM PSEG OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYMEX HEATING OIL/RDAM GASOIL - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM PSEG PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM JCPL PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WESTERN OFF PEAK REAL TIME - NEW YORK MERCANTILE EXCHANGE	DeaFut
EUROPEAN NAPHTHA CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM PEPCO OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WESTERN PEAK REAL TIME - NEW YORK MERCANTILE EXCHANGE	DeaFut
NGPL MIDCON BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
JAPAN C&F NAPTHA SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ISO NEW ENG INT HUB PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ISO NEW ENG HUB OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU ETHANE SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
DOW JONES UBS EXCESS RETURN - CHICAGO BOARD OF TRADE	DeaFut
GASOIL 0.1 BARGE FOB RDM V ICE - NEW YORK MERCANTILE EXCHANGE	DeaFut
WAHA INDEX SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CRUDE OIL, LIGHT SWEET - ICE EUROPE	DeaFut
TETCO M-3 INDEX SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU PROPANE 5 DEC SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CHICAGO ETHANOL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM PEPCO PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELV NORM BUTANE 5 DEC SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CRUDE OIL, LIGHT SWEET - ICE FUTURES EUROPE	DeaFut
E-MINI MSCI EMERGING MARKETS - CHICAGO MERCANTILE EXCHANGE	DeaFut
GASOIL (ICE) SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CBT ETHANOL - CHICAGO BOARD OF TRADE	DeaFut
MT BELVIEU ETHANE 5 DEC SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RBOB CRACK SPREAD SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM N ILL PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM N ILL OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELV NAT GASOLINE 5 DEC SWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NATURAL GAS ICE HENRY HUB - ICE OTC	DeaFut
SULFUR FINANCIAL INSTR 2009 - CHICAGO CLIMATE FUTURES EXCHANGE	DeaFut
NYISO ZONE 5 MW PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RGGI CO2 ALLOWANCE 2009 - CHICAGO CLIMATE FUTURES EXCHANGE	DeaFut
HOUSTON SHIP CH INDEX SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MW IND TRANS PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
LONG-TERM U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE	DeaFut
PJM JCPL OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM PPL PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
SOUTH AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE	DeaFut
SING 380 FUEL OIL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM PPL OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU PROPANE (OPIS) SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU ETHANE OPIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELV NORM BUTANE OPIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELV NAT GASOLINE OPIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ISO NEW ENG CONN OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
COLUMBIA GULF ML SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ISO NEW ENG CONN PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
DJIA Consolidated - CHICAGO BOARD OF TRADE	DeaFut
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE	DeaFut
NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE	DeaFut
NEW YORK ETHANOL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
TRANSCO ZONE 4 BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE G 5 MW PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CONWAY PROPANE (OPIS) SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SOCAL BORDER FIN BASIS - ICE OTC	DeaFut
PG&E CITYGATE FIN BASIS - ICE OTC	DeaFut
NWP ROCKIES FIN BASIS - ICE OTC	DeaFut
AECO FIN BASIS - ICE OTC	DeaFut
CHICAGO FIN BASIS - ICE OTC	DeaFut
HSC FIN BASIS - ICE OTC	DeaFut
WAHA FIN BASIS - ICE OTC	DeaFut
JAPAN C&F NAPHTHA SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NAPHTHA CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM N ILL HUB 5 OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE 5 MW OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM BGE PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF 3% FUEL OIL BALMO SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE A 5 MW PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM N ILL HUB 5 MW PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
EUROBOB OXY NWE CRK SPR - NEW YORK MERCANTILE EXCHANGE	DeaFut
ULSD UP-DOWN BALMO SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ULSD UP DOWN SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF NO6 FO 3% v EUR 3.5% RDAM - NEW YORK MERCANTILE EXCHANGE	DeaFut
SINGAPORE MOGUS 92 SWAP FUTURE - NEW YORK MERCANTILE EXCHANGE	DeaFut
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE	DeaFut
FUEL OIL CARGOES B PLATTS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WH REAL TIME PEAK OTC - ICE OTC	DeaFut
MID-C FINANCIAL PEAK OTC - ICE OTC	DeaFut
MID-C FINANCIAL OFF-PEAK OTC - ICE OTC	DeaFut
PJM WH OFF PEAK REAL TIME OTC - ICE OTC	DeaFut
SP15 FIN DAYAHEAD LPM PEAK OTC - ICE OTC	DeaFut
SP15 FIN DA LPM OFF PEAK OTC - ICE OTC	DeaFut
NYISO ZONE A 5MW OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GASOIL (ICE) MINI CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MW CINERGY OFF PEAK CAL MONTH - NEW YORK MERCANTILE EXCHANGE	DeaFut
MINI CORN - CHICAGO BOARD OF TRADE	DeaFut
MSCI EAFE MINI INDEX - NYSE LIFFE	DeaFut
MSCI EMERGING MKTS MINI INDEX - NYSE LIFFE	DeaFut
CME MILK IV - CHICAGO MERCANTILE EXCHANGE	DeaFut
AEP DAYTON CAL MONTH LMP SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MW IND TR REAL TIME PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM AEP DAYTON OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM AEP DAY HUB 5 MW PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
IN DELIVERY MONTH EUA - GREEN EXCHANGE	DeaFut
PJM AEP PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB LAST DAY FIN - NEW YORK MERCANTILE EXCHANGE	DeaFut
SING GASOIL ICE GASOIL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
DRY WHEY - CHICAGO MERCANTILE EXCHANGE	DeaFut
CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE	DeaFut
MINI EUR 3.5%FOIL RTD CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE J 5 MW PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
RBOB GASOLINE/BRENT CRACK SPRD - NEW YORK MERCANTILE EXCHANGE	DeaFut
FAM BIODIESEL V GASOIL SPR SWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NY FO 1% v EUR 1% FO FOB NWE - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE G5 MW OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HOT ROLLED COIL STEEL - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF COAST ULSD SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF COAST ULSD CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CANADIAN HVY CRUDE NET ENRGY - NEW YORK MERCANTILE EXCHANGE	DeaFut
COAL (API 2) CIF ARA SWAP FUT - NEW YORK MERCANTILE EXCHANGE	DeaFut
COAL (API 4) FOB  RICH BAY FUT - NEW YORK MERCANTILE EXCHANGE	DeaFut
DTCC Repo-US Treasury <30 YR - NYSE LIFFE - NYPC	DeaFut
IN DELIVERY MONTH EUA - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB PENULTIMATE FIN - NEW YORK MERCANTILE EXCHANGE	DeaFut
CSX COAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF COAST JET FUEL CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NATURAL GAS ICE HENRY HUB - ICE FUTURES ENERGY DIV	DeaFut
SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
PG&E CITYGATE FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
NWP ROCKIES FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
AECO FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
CHICAGO FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
HSC FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
WAHA FIN BASIS - ICE FUTURES ENERGY DIV	DeaFut
PJM WH REAL TIME PEAK OTC - ICE FUTURES ENERGY DIV	DeaFut
MID-C FINANCIAL PEAK OTC - ICE FUTURES ENERGY DIV	DeaFut
MID-C FINANCIAL OFF-PEAK OTC - ICE FUTURES ENERGY DIV	DeaFut
PJM WH OFF PEAK REAL TIME OTC - ICE FUTURES ENERGY DIV	DeaFut
SP15 FIN DAYAHEAD LPM PEAK OTC - ICE FUTURES ENERGY DIV	DeaFut
SP15 FIN DA LPM OFF PEAK OTC - ICE FUTURES ENERGY DIV	DeaFut
NY ULSD VS HEATING OIL SPR SWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM AEP OFF PEAK DAY AHEAD - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF#6 FUELOIL BRENT CRACK SWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
Mini Eur Naphtha CIF NWE Swap - NEW YORK MERCANTILE EXCHANGE	DeaFut
10 YEAR DELIVERABLE IR SWAP - CHICAGO BOARD OF TRADE	DeaFut
FAME BIODIESEL V GASOIL SPR SP - NEW YORK MERCANTILE EXCHANGE	DeaFut
5 YEAR DELIVERABLE IR SWAP - CHICAGO BOARD OF TRADE	DeaFut
POWDER RIVER BASIN COAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MINI JAPAN C&F NAPHTHA SWAP FU - NEW YORK MERCANTILE EXCHANGE	DeaFut
