Market_and_Exchange_Names	File
WHEAT - CHICAGO BOARD OF TRADE	DeaFut
WHEAT - KANSAS CITY BOARD OF TRADE	DeaFut
WHEAT - MINNEAPOLIS GRAIN EXCHANGE	DeaFut
CORN - CHICAGO BOARD OF TRADE	DeaFut
OATS - CHICAGO BOARD OF TRADE	DeaFut
SOYBEANS - CHICAGO BOARD OF TRADE	DeaFut
SOYBEAN OIL - CHICAGO BOARD OF TRADE	DeaFut
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE	DeaFut
NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE	DeaFut
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE	DeaFut
MICHCON BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PERMIAN BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
M-3 BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
TCO BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MALIN BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NGPL TEXOK BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
DOMINION BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
WAHA BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CIG BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SOYBEAN MEAL - CHICAGO BOARD OF TRADE	DeaFut
1-MONTH LIBOR RATE - CHICAGO MERCANTILE EXCHANGE	DeaFut
COTTON NO. 2 - NEW YORK BOARD OF TRADE	DeaFut
ALBERTA BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
CHICAGO BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HOUSTON SHIP CH BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
NW PIPE ROCKIES BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PANHANDLE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
SOCAL BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
TRANSCO ZONE 6 BASIS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB GAS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HENRY HUB PENULTIMATE GAS SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ROUGH RICE - CHICAGO BOARD OF TRADE	DeaFut
FRZN CONCENTRATED ORANGE JUICE - NEW YORK BOARD OF TRADE	DeaFut
2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE	DeaFut
10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE	DeaFut
5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE	DeaFut
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE	DeaFut
MILK - CHICAGO MERCANTILE EXCHANGE	DeaFut
LEAN HOGS - CHICAGO MERCANTILE EXCHANGE	DeaFut
FRZN PORK BELLIES - CHICAGO MERCANTILE EXCHANGE	DeaFut
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE	DeaFut
RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE	DeaFut
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE	DeaFut
