,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1
0,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-07-28,28.07.2009,02365C,NYME,1,23,121464,7542,2927,6863,97200,103809,111605,113599,9859,7865,121464,7542,2927,6863,97200,103809,111605,113599,9859,7865,0,0,0,0,0,0,0,0,0,0,-800.0,-536.0,-769.0,-1691.0,1795.0,1292.0,-432.0,-1168.0,-368.0,368.0,100,6.2,2.4,5.7,80.0,85.5,91.9,93.5,8.1,6.5,100,6.2,2.4,5.7,80.0,85.5,91.9,93.5,8.1,6.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2,2,4,21,25,25,29,35,2,2,4,21,25,25,29,0,0,0,0,0,0,0,0,48.8,49.1,66.3,66.3,46.6,46.5,62.8,60.3,48.8,49.1,66.3,66.3,46.6,46.5,62.8,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",4615,0.440825293724,SHORT,-6609,-0.0328791248153,LONG
1,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-08-04,04.08.2009,02365D,NYME,1,23,95612,0,0,0,83155,84463,83155,84463,12457,11149,95612,0,0,0,83155,84463,83155,84463,12457,11149,0,0,0,0,0,0,0,0,0,0,887.0,0.0,0.0,0.0,763.0,887.0,763.0,887.0,124.0,0.0,100,0.0,0.0,0.0,87.0,88.3,87.0,88.3,13.0,11.7,100,0.0,0.0,0.0,87.0,88.3,87.0,88.3,13.0,11.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,23,22,23,22,26,0,0,0,23,22,23,22,0,0,0,0,0,0,0,0,41.2,42.0,62.4,61.5,32.6,29.4,46.3,46.7,41.2,42.0,62.4,61.5,32.6,29.4,46.3,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",0,0.440825293724,LONG,-1308,-0.00780345786252,LONG
2,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-08-11,11.08.2009,02365E,NYME,1,23,43864,3169,6380,4234,31864,29110,39267,39724,4597,4140,43864,3169,6380,4234,31864,29110,39267,39724,4597,4140,0,0,0,0,0,0,0,0,0,0,887.0,0.0,0.0,0.0,763.0,887.0,763.0,887.0,124.0,0.0,100,7.2,14.5,9.7,72.6,66.4,89.5,90.6,10.5,9.4,100,7.2,14.5,9.7,72.6,66.4,89.5,90.6,10.5,9.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,2,4,13,10,17,14,20,2,2,4,13,10,17,14,0,0,0,0,0,0,0,0,55.7,67.4,75.4,84.0,46.4,57.3,59.0,63.0,55.7,67.4,75.4,84.0,46.4,57.3,59.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",-3211,-0.336265577547,LONG,2754,0.0451667924033,SHORT
3,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-08-18,18.08.2009,02365F,NYME,1,23,75142,3709,0,7461,58227,55549,69397,63010,5745,12132,75142,3709,0,7461,58227,55549,69397,63010,5745,12132,0,0,0,0,0,0,0,0,0,0,3352.0,1947.0,-5093.0,3012.0,-857.0,5189.0,4102.0,3108.0,-750.0,244.0,100,4.9,0.0,9.9,77.5,73.9,92.4,83.9,7.6,16.1,100,4.9,0.0,9.9,77.5,73.9,92.4,83.9,7.6,16.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,0,2,21,21,23,23,26,2,0,2,21,21,23,23,0,0,0,0,0,0,0,0,49.1,43.9,71.1,62.0,40.6,37.8,50.6,48.8,49.1,43.9,71.1,62.0,40.6,37.8,50.6,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",3709,1.0,SHORT,2678,0.0235374771481,SHORT
4,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-08-25,25.08.2009,02365G,NYME,1,23,90018,2785,2507,4121,73350,76545,80256,83173,9762,6845,90018,2785,2507,4121,73350,76545,80256,83173,9762,6845,0,0,0,0,0,0,0,0,0,0,-3979.0,-3246.0,514.0,712.0,-249.0,-5447.0,-2783.0,-4221.0,-1196.0,242.0,100,3.1,2.8,4.6,81.5,85.0,89.2,92.4,10.8,7.6,100,3.1,2.8,4.6,81.5,85.0,89.2,92.4,10.8,7.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,2,4,19,23,23,27,31,2,2,4,19,23,23,27,0,0,0,0,0,0,0,0,44.4,44.8,65.7,60.3,39.4,43.4,58.7,58.1,44.4,44.8,65.7,60.3,39.4,43.4,58.7,58.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",278,0.0525321239607,SHORT,-3195,-0.0213149204443,LONG
5,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-09-01,01.09.2009,02365G,NYME,1,23,93670,7229,3061,2877,74415,76581,84521,82519,9149,11151,93670,7229,3061,2877,74415,76581,84521,82519,9149,11151,0,0,0,0,0,0,0,0,0,0,3543.0,1371.0,-1045.0,-295.0,2879.0,4072.0,3955.0,2732.0,-412.0,811.0,100,7.7,3.3,3.1,79.4,81.8,90.2,88.1,9.8,11.9,100,7.7,3.3,3.1,79.4,81.8,90.2,88.1,9.8,11.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2,3,4,26,29,31,33,42,2,3,4,26,29,31,33,0,0,0,0,0,0,0,0,44.0,30.1,64.6,48.1,37.1,27.0,52.3,42.5,44.0,30.1,64.6,48.1,37.1,27.0,52.3,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",4168,0.405053449951,SHORT,-2166,-0.0143447508543,LONG
6,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-09-08,08.09.2009,02365K,NYME,1,23,135557,7959,851,7826,108375,111984,124160,120661,11397,14896,135557,7959,851,7826,108375,111984,124160,120661,11397,14896,0,0,0,0,0,0,0,0,0,0,2666.0,2266.0,-800.0,-368.0,720.0,3814.0,2618.0,2646.0,48.0,20.0,100,5.9,0.6,5.8,79.9,82.6,91.6,89.0,8.4,11.0,100,5.9,0.6,5.8,79.9,82.6,91.6,89.0,8.4,11.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2,1,3,18,29,21,32,35,2,1,3,18,29,21,32,0,0,0,0,0,0,0,0,51.3,33.6,73.2,49.8,44.1,33.1,60.7,49.0,51.3,33.6,73.2,49.8,44.1,33.1,60.7,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",7108,0.806810442679,SHORT,-3609,-0.0163778198304,LONG
7,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-09-15,15.09.2009,02365L,NYME,1,23,42990,3174,6206,1612,33881,29034,38667,36852,4323,6138,42990,3174,6206,1612,33881,29034,38667,36852,4323,6138,0,0,0,0,0,0,0,0,0,0,3337.0,2566.0,-299.0,-656.0,1691.0,4278.0,3601.0,3323.0,-264.0,14.0,100,7.4,14.4,3.7,78.8,67.5,89.9,85.7,10.1,14.3,100,7.4,14.4,3.7,78.8,67.5,89.9,85.7,10.1,14.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,1,2,17,15,20,18,22,3,1,2,17,15,20,18,0,0,0,0,0,0,0,0,47.8,49.3,68.4,70.4,42.0,41.9,55.2,53.6,47.8,49.3,68.4,70.4,42.0,41.9,55.2,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",-3032,-0.323240938166,LONG,4847,0.0770404514027,SHORT
8,"CRUDE OIL, LIGHT SWEET - ICE EUROPE",2009-09-22,22.09.2009,02365M,NYME,1,23,79470,413,11018,17499,55989,45047,73901,73564,5569,5906,79470,413,11018,17499,55989,45047,73901,73564,5569,5906,0,0,0,0,0,0,0,0,0,0,-3191.0,-217.0,641.0,-501.0,-1782.0,-2990.0,-2500.0,-2850.0,-691.0,-341.0,100,0.5,13.9,22.0,70.5,56.7,93.0,92.6,7.0,7.4,100,0.5,13.9,22.0,70.5,56.7,93.0,92.6,7.0,7.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,3,3,13,13,17,16,23,1,3,3,13,13,17,16,0,0,0,0,0,0,0,0,61.2,54.1,78.4,73.5,39.5,30.2,49.0,43.9,61.2,54.1,78.4,73.5,39.5,30.2,49.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2,500 MMBTU'S)",-10605,-0.927740355175,LONG,10942,0.108298032384,SHORT
