Trade_Date;CALL USDJPY;PUT USDJPY;CALL AUDUSD;PUT AUDUSD;CALL EURUSD;PUT EURUSD;CALL USDCAD;PUT USDCAD;CALL GBPUSD;PUT GBPUSD;CALL NZDUSD;PUT NZDUSD;CALL USDCHF;PUT USDCHF;CALL XAUUSD;PUT XAUUSD
02.01.2006;1038.53;-18380.82;1168.18;-18040.82;1307.44;-9461.82;1063.02;1067.6;-26643.78;2001.8;-3950.92;907.93;1184.24;-18070.49;-1942.83;76.11
09.01.2006;1270.53;1435.19;1105.48;1024.16;1192.62;1195.76;1126;1112.87;1791.83;1843.48;748.18;850.81;1071.14;1111.47;73.9;78.14
16.01.2006;1106.4;1234.24;1058.16;959.82;1197.99;-2214.27;966.79;941.65;1049.3;2049.46;920.35;-726.26;1122.8;-4411.06;144.15;133.79
23.01.2006;-16651.13;1226.39;994.93;900.45;-6641.03;1228.53;1179.1;1193.61;1750.66;31.56;740.77;888.72;-12581.53;1228.08;137.39;119.54
30.01.2006;-877.69;1239.44;677.05;888.79;1308.73;1238.22;1031.95;1027.49;1846.49;-1499.33;828.17;982.7;1269.03;1275.94;139.59;121.45
06.02.2006;1201.32;1289.25;1119.12;977.11;1163.48;1079.38;945.03;961.43;1766.39;1861.69;832.71;956.14;1196.08;1187;139.98;-1473.6
13.02.2006;1164.34;1267.43;1057.14;960.78;1114.83;1067.24;950.27;917.35;1746.01;1853.3;755.16;894.81;1030.07;1031.21;132.71;115.47
20.02.2006;1009.9;-6114.34;1007.4;918.5;1045.45;1069.87;987.51;932.35;1629.54;1732.87;869.21;-325.25;-1212.34;1113.1;133.2;130.38
27.02.2006;-1850.42;1281.33;891.98;796.66;966.18;-3742.81;911.1;876.14;1638.84;1710.01;762.01;899.28;1096.04;-6426.16;132.7;129.88
06.03.2006;931.69;1204.36;977.83;900.16;1031.86;1105.63;-6746.61;959.81;1454.61;-1531.82;783.21;-8317.83;333.99;1060.06;133.03;130.21
13.03.2006;1081.72;-7113.53;-11085.58;980.81;932.52;-6367.04;877.9;805.79;-8376.83;1485.77;623.32;-5744.22;907.64;-4260.02;130.78;128.01
20.03.2006;1011.33;1138.7;-8076.66;1036.06;-3636.55;959.4;1084.26;1013.67;1163.21;1217.2;783.3;-7574.58;-3771.66;1046.39;132.94;130.12
27.03.2006;1283.4;1392.8;1517.77;-1080.41;984.69;298.11;1040.5;965.78;1406.57;1461.35;980.43;1218.7;1021.89;1065.33;-434.24;133.02
03.04.2006;1180.27;1288.68;1525.45;-6401.73;1048.09;1058.67;1026.61;-9911.93;1517.6;1581.92;1112.85;1286.96;1076.1;1152.55;140.82;137.83
10.04.2006;998.71;1097.95;1009.28;-471.66;824.4;-1447.16;930.35;895.42;-12068.08;1312.17;-3719.59;1062.14;821.51;-7307.95;143.66;140.61
17.04.2006;1060.55;-14974.14;1253.83;1076.44;1053.11;67.04;868.23;827.32;-2754.8;1593.25;814.57;935.27;1114.46;1200.73;146.96;143.84
24.04.2006;1356.12;1587.6;1231;-8943.51;1074.85;-4176.46;877.19;-12223.04;-20457.25;1490.13;593.53;1110.37;1019.58;-8921.81;-1163;194.79
01.05.2006;1313.73;-592.25;1351.27;1313.12;1252.34;1270.11;909.76;953.3;-12668.42;1895.02;1042.79;1134.68;1247.22;1345.79;43.15;205.59
08.05.2006;1511.32;1776.96;1464.85;1350.68;1239.61;1238.26;988.02;1006.88;1648.21;2048.82;1086.62;-1571.08;1316.25;886.91;220.38;198.2
15.05.2006;1439;1688.83;1696.73;1512.81;1326.98;1312.74;1104.9;1122.75;2420.94;2311.23;1123.42;1284.49;1505.95;1554.02;261.02;254.05
22.05.2006;1541.37;1658.23;1821.63;1571.31;1371.99;1318.52;1210.25;1153.11;2568.34;-3408.35;-1157.49;1207.02;-3130.06;1500.4;334.51;328.3
